item
apple
apricot
asparagus
avocado
bacon
banana
bread-slice
bread
broccoli
cabbage
carrot
caviar
celery
cheese
cheesecake
cherry
chili-pepper
chocolate-bar
cinnamon-roll
cookies
corn
crab
croissant
cucumber
cupcake
dim-sum
doughnut
dumplings
eggplant
eggs
fish-food
garlic
grapes
hamburger
hot-dog
ice-cream-cone
kiwi
korean-rice-cake
leek
lettuce
lime
melon
melting-ice-cream
milk-bottle
milk-carton
mushroom
noodles
octopus
olive
onion
orange
pancake-stack
paprika
peach
peanuts
pear
peas
pie
pineapple
pizza
plum
potato
prawn
pumpkin
radish
rice-bowl
sausages
shellfish
slice-of-watermelon
spaghetti
spam-can
steak
strawberry
sushi
sweet-potato
taco
tomato
turkey
waffle
yogurt
