RCP_SNO,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4
414094,쇼콜라케이크,alsruddk66,밀키,4316,3,39,굽기,간식,밀가루,빵,초콜렛,버터,박력분,코코아파우더
414203,전자렌지딸기찹쌀떡,alsruddk66,밀키,9937,8,145,기타,간식,쌀,밥/죽/떡,딸기,녹말가루,팥소,찹쌀가루
414255,닭고기샌드위치,alsruddk66,밀키,4445,2,31,굽기,도시락,닭고기,빵,닭,베이비채소,파프리카,식빵
414263,깻잎떡볶이,alsruddk66,밀키,6338,3,39,볶음,간식,쌀,밥/죽/떡,떡볶이떡,어묵,양파,양배추 조금
414319,연어또띠아말이,alsruddk66,밀키,7355,2,74,기타,도시락,해물류,디저트,또띠아,훈제연어,양파,오이
414544,김치볶음밥,okwn7,센,17315,18,46,볶음,일상,쌀,밥/죽/떡,밥,김치,어묵,계란
415008,바나나머핀,alsruddk66,밀키,2542,3,17,굽기,간식,밀가루,빵,바나나 작은것,버터,박력분,설탕
420314,모밀국수,alsruddk66,밀키,14343,4,107,끓이기,일상,쌀,면/만두,다시마,가다랑이포,모밀면,김
420422,토마토카프레제샐러드,wine59,김미경,64059,14,1690,기타,일상,채소류,샐러드,토마토,바질,치즈,양파
420425,오징어청양고추조림,wine59,김미경,7554,4,41,조림,일상,해물류,밑반찬,오징어,고추,다시마,통마늘
421146,카야쨈호떡,wine59,김미경,6270,7,43,굽기,간식,밀가루,빵,호떡믹스,카야잼,피칸,
421183,초콜렛치즈머핀,okwn7,센,2463,0,23,굽기,간식,밀가루,빵,초코머핀믹스,카놀라유,계란,
421940,샐러드오므라이스,wine59,김미경,2285,1,3,볶음,일상,채소류,밥/죽/떡,밥,양파,닭,계란
421942,어묵볶음,wine59,김미경,24211,43,22,볶음,일상,가공식품류,밑반찬,어묵,돼지호박,풋고추,홍고추
423378,두부치즈케익,alsruddk66,밀키,9297,3,110,굽기,간식,밀가루,빵,두부,치즈,생크림,다이제쿠키
424008,라볶이,okwn7,센,93472,26,333,끓이기,간식,가공식품류,밥/죽/떡,멸치,다시마,말린표고버섯,물
500753,깡장,wine59,마이드림,20191,35,75,끓이기,일상,채소류,양념/소스/잼,돼지고기,오징어,양파 큰것,홍고추
501958,밤조림,okwn7,센,8301,4,47,조림,일상,콩/견과류,밑반찬,밤,중조,럼주나 브랜디,소금 약간
502713,티라미수컵케익,wine59,마이드림,7767,4,73,기타,간식,밀가루,빵,마스카포네,플레인요구르트,설탕,레몬즙
503870,크로켓,okwn7,센,5054,1,24,굽기,다이어트,콩/견과류,빵,디츠다짐,두부,야채,녹말가루
